Date,LMCADS03,DXY,COMXCOPR,SPX,BCOM,MXWD,CL1,XAU,XAG,LMCADY RETURN,True Values,LMCADY,Predictions,PREDICTED PRICE,ACTUAL FUTURE PRICE,ERROR,ERROR%,xpc_chg,act_chg
2/3/2021,7842.5,91.17,71605,3830.17,81.8088,662.97,55.69,1834.04,26.8915,0.00824892,0.055912299,7851.5,0.036211252,8141.023004,8157.75,16.7270,0.002050442,289.52,306.25
2/4/2021,7823,91.53,70709,3871.74,81.9778,666.76,56.23,1794.03,26.3516,-0.003316964,0.057571862,7825.5,0.046347808,8196.731196,8303,106.2688,0.012798844,371.23,477.50
2/5/2021,7912.5,91.04,70313,3886.83,82.4711,670.56,56.85,1814.11,26.9205,0.012887022,0.05225631,7927,0.036340233,8220.36726,8289.25,68.8827,0.008309888,293.37,362.25
2/8/2021,8037,90.93,69788,3915.59,83.5421,675.53,57.97,1830.81,27.2725,0.015490601,0.045141442,8050.75,0.034328192,8331.916042,8352.25,20.3340,0.002434549,281.17,301.50
2/9/2021,8147.5,90.44,69106,3911.23,83.7736,676.7,58.36,1838.32,27.2674,0.013203141,0.032116379,8157.75,0.029216679,8399.608307,8422.5,22.8917,0.002717921,241.86,264.75
2/10/2021,8299.5,90.37,68134,3909.88,83.5314,678.06,58.68,1842.89,27.0266,0.0176485,0.012001641,8303,0.021127747,8480.289957,8424,56.2900,0.006682094,177.29,121.00
2/11/2021,8280.5,90.42,66928,3916.38,83.4745,679.74,58.24,1825.51,26.9824,-0.001657401,0.033687396,8289.25,0.015236812,8416.518868,8403.25,13.2689,0.001579016,127.27,114.00
2/12/2021,8332,90.48,66381,3934.83,84.0621,682.24,59.47,1824.23,27.36,0.007571469,0.068759374,8352.25,0.028719677,8595.601687,8573.25,22.3517,0.002607143,243.35,221.00
2/15/2021,8393.5,90.48,66381,3934.83,84.0621,685.08,59.47,1818.86,27.6176,0.008375733,0.080932783,8422.5,0.059612196,8939.850731,8946.75,6.8993,0.000771148,517.35,524.25
2/16/2021,8405.5,90.51,65751,3932.59,85.0496,685.06,60.05,1794.47,27.243,0.000178079,0.091536774,8424,0.08312313,9154.155277,9132.5,21.6553,0.002371232,730.16,708.50
2/17/2021,8390,90.95,64865,3931.33,85.2003,682.7,61.14,1776.13,27.3829,-0.002466239,0.105687716,8403.25,0.08131711,9115.129777,9231.5,116.3702,0.012605776,711.88,828.25
2/18/2021,8553,90.59,64699,3913.97,85.2395,678.67,60.52,1775.67,27.0333,0.020028355,0.098029008,8573.25,0.070798434,9202.225202,9340,137.7748,0.014751049,628.98,766.75
2/19/2021,8909.5,90.36,65471,3906.71,85.3002,679.74,59.24,1784.25,27.2899,0.042643447,0.021287987,8946.75,0.043475725,9344.295619,9456.25,111.9544,0.011839194,397.55,509.50
2/22/2021,9097,90.01,66003,3876.5,86.6999,673.77,61.49,1809.67,28.1379,0.020549142,-0.004774589,9132.5,-0.005890424,9078.863824,9139.25,60.3862,0.006607345,-53.64,6.75
2/23/2021,9206.5,90.17,66542,3881.37,86.6185,674.03,61.67,1805.73,27.6737,0.010782069,-0.001219397,9231.5,-0.038176544,8885.715656,9089,203.2843,0.022365975,-345.78,-142.50
2/24/2021,9308.5,90.18,67582,3925.43,87.5827,675.37,63.22,1805.06,27.9528,0.011684703,-0.022932252,9340,-0.028903222,9073.90789,9220.25,146.3421,0.015871816,-266.09,-119.75
2/25/2021,9412.5,90.13,68607,3829.34,87.1179,667.05,63.53,1770.56,27.4258,0.012369646,-0.0569516,9456.25,-0.03616148,9120.406893,9128.25,7.8431,0.000859213,-335.84,-328.00
